name_en,name_cn,id,parentId
FMCG,快速消费品,1,0
Skin Care & Cosmetics,化妆品,2,0
Liquor & Tabacco,烟酒,3,0
Auto,汽车,4,0
Home Appliances,电器用品/家用电器,5,0
Pharmaceutical and Healthcare,药品及健康产品/医疗药品及健康,6,0
Fashion and Accessories,服装及饰品,7,0
Transportation & Express Services,运输/快递,8,0
Banking and Financial Services,财务/投资/银行/金融服务,9,0
Retail,零售店,10,0
Luxury,奢侈品,11,0
IT & Telecom,信息与通讯,12,0
Internet & Technology,互联网科技,13,0
Society & Government ,政府/社会/公益,14,0
Leisure & Entertainment,休闲娱乐,15,0
Others,其它,16,0
Food,食品,18,1
Household Care,家庭护理用品,19,1
Personal Care,个人护理用品,20,1
Baby Care,婴儿用品,21,1
Pet Care,宠物用品,22,1
others,其他,23,1
Female skin care,女性护肤品,24,2
Cosmetics,彩妆,25,2
Male skin care,男性护肤品,26,2
Baby skin Care,婴儿/儿童护理产品,27,2
others,其他,28,2
Tabacco,烟草,29,3
Imported Spirit,洋酒,30,3
Red Wine,红酒、白葡萄酒,31,3
Beer,啤酒,32,3
Chinese Spirit,中国白酒,33,3
others,其他,34,3
Motocycle,摩托车,37,4
Auto Accessories and Services,汽车配饰与服务,38,4
others,其他,39,4
A/V Equipment,音响、视频设备,40,5
Kitchen appliance,厨房电器,42,5
Office equipment,办公电器,48,5
others,其他,51,5
Nutrition,保健营养品,52,6
Gym Equipment,健身设备,53,6
Fitness Service,健身服务,54,6
others,其他,56,6
Fashion,时尚服装,57,7
Sports Apparel,运动服饰与鞋帽,58,7
Shoe and sock,鞋袜类,60,7
Bag - mainstream,袋/旅行箱/钱包,61,7
Glasses,眼镜,62,7
Watch-mainstream,手表-中低端,63,7
Accessory,配饰,64,7
others,其他,65,7
Airline,航空,66,8
Express Service,快递,67,8
others,其他,69,8
Banking,银行,70,9
Finance and Investment,财务/投资,71,9
Insurance,保险,72,9
others,其他,73,9
Fashion store,时装店,74,10
Supermarket,商超,75,10
Electronics Retail Store,电器商城,76,10
Restaurant,餐饮店,77,10
others,其他,79,10
Jewellery,珠宝,80,11
Watch,手表,81,11
wallets / bags/ luggage bags,箱包皮具,82,11
Perfume,香水,83,11
others,其他,85,11
Software,软件,86,12
Telecom Network,通讯网络,87,12
Communication Device,讯通设备,88,12
others,其他,89,12
E-commerce,电子商务,90,13
Internet,互联网,91,13
Online Game,网络游戏,92,13
others,其他,94,13
Education & Study Abroad,教育及出国,95,14
Government,政府机构,96,14
Organization,组织,97,14
Public Ads,公益广告,98,14
others,其他,99,14
Travel,旅游,100,15
Hotel,酒店,101,15
Shows,演出活动,102,15
Living Services,生活服务,103,15
others,其他,104,15
others,其他,195,16
0,测试,196,16
Consumer electronics,消费电子,197,0
Real Estate,房地产,198,0
Home Decoration,家居装饰,199,0
Water,水,200,1
Tea/Tea Bags/Leaves,茶类/茶包/茶叶,201,1
RTD Coffee/Coffee Bean/Milk Tea,即饮咖啡/速溶咖啡/咖啡豆/奶茶,202,1
Carbonated Soft Drinks,碳酸饮料,203,1
Fruit/Vegetable Juice,果蔬类,204,1
Sports & Healthcare/Energy Drinks,运动健康/功能饮品,205,1
Powder Drinks,粉状冲剂/浓缩液（非奶类）,206,1
Liquid Milk,液态奶,207,1
Milk Powder,奶粉,208,1
Yogurt,酸奶,209,1
Auto - Luxury / Sports Car,豪华车/跑车,210,4
SUV,越野车,211,4
Sedan Car,家用轿车,212,4
Passenger Vehicle,客车,213,4
Construction Vehicle,工程车,214,4
Photographic equipment,摄影/摄像,215,197
Computer,电脑,216,197
Computer accessories,电脑配件,217,197
Consumer Electronics,数码产品,218,197
Gaming Consoles,游戏机,219,197
Mobile phone,手机,220,197
Mobile phone accessories,手机配件,221,197
others,其他,222,197
Black Goods,黑电,223,5
White Goods,白电,224,5
Household appliances,生活电器,225,5
Personal Care Appliance,个护健康,226,5
Drugs,药品,227,6
Cosmetic medicine,美容产品,228,6
Business Attire,商务正装,229,7
Underwear,内衣,230,7
Childrenwear,童装,231,7
Railway,铁路,232,8
Highway,公路,233,8
Marine,海洋,234,8
Wedding,婚庆,235,15
Lottery,彩票,236,15
Shopping Mall,商场,237,198
Residential,住宅,238,198
Office Building,写字楼,239,198
Property management service,房产服务,240,198
others,其他,241,198
Building material,家装建材,242,199
Furniture,家具,243,199
Textiles,家纺,244,199
Lamps and Lanterns,灯具,245,199
Kitchen & Bath Fixtures,厨卫,246,199
Daily necessities,日常用品,247,199
others,其他,248,199
Toys,玩具,249,16
Musical Instrument,乐器,250,16
Agricultural Product,农产品,251,16
Industrial Product,工业,252,16
Chemical industry,化学化工,253,16
